"vibes","Movie","Name","Year","PP","DD","MM","FF","Ch","Nom","Pic","Dir","Aml","Afl","Ams","Afs","Scr","Cin","PrNl","PrWl","PrNs","PrWs","PrN","PrW","Gdr","Gmc","Gd","Gm1","Gm2","Gf1","Gf2","PGA","DGA","SAM","SAF","SAE","Age","Length","Days","WR","rating_val"
8.33333333333333,"Oppenheimer","Christopher Nolan","2023","0","1","0","0","1",7,"1","1",1,0,1,1,1,"1",1,1,2,2,1,1,1,"0","1","1","0",0,"0","0","1","0","0","1",55,180,596,8.3,4
8.33333333333333,"Oppenheimer","Oppenheimer","2023","1","0","0","0","1",7,"1","1",1,0,1,1,1,"1",1,1,2,2,1,1,1,"0","1","1","0",0,"0","0","1","0","0","1",NA,180,596,8.3,4
4.16666666666667,"Past Lives","Past Lives","2023","1","0","0","0","0",2,"1","0",0,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,105,414,7.8,4.16666666666667
10,"Poor Things","Emma Stone","2023","0","0","0","1","1",11,"1","1",0,1,1,0,1,"1",1,1,2,0,6,1,0,"1","0","0","0",0,"1","0","0","0","0","0",34,141,191,7.8,10
10,"Poor Things","Yorgos Lanthimos","2023","0","1","0","0","0",11,"1","1",0,1,1,0,1,"1",1,1,2,0,6,1,0,"1","0","0","0",0,"1","0","0","0","0","0",49,141,191,7.8,10
7.5,"Poor Things","Poor Things","2023","1","0","0","0","0",11,"1","1",0,1,1,0,1,"1",1,1,2,0,6,1,0,"1","0","0","0",0,"1","0","0","0","0","0",NA,141,191,7.8,7.5
6.66666666666667,"Rustin","Colman Domingo","2023","0","0","1","0","0",1,"0","0",1,0,0,0,0,"0",1,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","1","0","0",55,106,114,6.5,6.66666666666667
5.83333333333333,"The Holdovers","Paul Giamatti","2023","0","0","1","0","0",5,"1","0",1,1,0,0,1,"0",1,1,0,0,2,1,0,"0","0","1","0",1,"0","0","0","0","0","0",57,133,152,7.9,5.83333333333333
5,"The Holdovers","The Holdovers","2023","1","0","0","0","0",5,"1","0",1,1,0,0,1,"0",1,1,0,0,2,1,0,"0","0","1","0",1,"0","0","0","0","0","0",57,133,152,7.9,5
6.66666666666667,"The Zone of Interest","Jonathan Glazer","2023","0","1","0","0","0",5,"1","1",0,0,0,0,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",59,105,19,7.3,6.66666666666667
